# Info, Time [s]
Iteration 2350, 0.020219
Iteration 2360, 0.0202
Iteration 2370, 0.020349
Iteration 2380, 0.020524
Iteration 2390, 0.020504
Iteration 2400, 0.02038
Iteration 2410, 0.020499
Iteration 2420, 0.02017
Iteration 2430, 0.020263
Iteration 2440, 0.02076
Iteration 2450, 0.020235
Iteration 2460, 0.020171
Iteration 2470, 0.020758
Iteration 2480, 0.020485
Iteration 2490, 0.02019
Iteration 2500, 0.020471
Iteration 2510, 0.020367
Iteration 2520, 0.020457
Iteration 2530, 0.020599
Iteration 2540, 0.020199
Iteration 2550, 0.020277
Iteration 2560, 0.020255
Iteration 2570, 0.020243
Iteration 2580, 0.020243
Iteration 2590, 0.020507
Iteration 2600, 0.020785
Iteration 2610, 0.020304
Iteration 2620, 0.020349
Iteration 2630, 0.020304
Iteration 2640, 0.020251
Iteration 2650, 0.020338
Iteration 2660, 0.020322
Iteration 2670, 0.020317
Iteration 2680, 0.020745
Iteration 2690, 0.020952
Iteration 2700, 0.020311
Iteration 2710, 0.020649
Iteration 2720, 0.020206
Iteration 2730, 0.020254
Iteration 2740, 0.020364
Iteration 2750, 0.020028
Iteration 2760, 0.019926
Iteration 2770, 0.020186
Iteration 2780, 0.020398
Iteration 2790, 0.02013
Iteration 2800, 0.01986
Iteration 2810, 0.020304
Iteration 2820, 0.020267
Iteration 2830, 0.020402
Iteration 2840, 0.020142
Iteration 2850, 0.020415
Iteration 2860, 0.020701
Iteration 2870, 0.020119
Iteration 2880, 0.02022
Iteration 2890, 0.020188
Iteration 2900, 0.020237
Iteration 2910, 0.020226
Iteration 2920, 0.020355
Iteration 2930, 0.020331
Iteration 2940, 0.019444
Iteration 2950, 0.020133
Iteration 2960, 0.020493
Iteration 2970, 0.020174
Iteration 2980, 0.019744
Iteration 2990, 0.019982
Iteration 3000, 0.020153
Iteration 3010, 0.01967
Iteration 3020, 0.020053
Iteration 3030, 0.019911
Iteration 3040, 0.020035
Iteration 3050, 0.020234
Iteration 3060, 0.019973
Iteration 3070, 0.019672
Iteration 3080, 0.02016
Iteration 3090, 0.020101
Iteration 3100, 0.019964
Iteration 3110, 0.019429
Iteration 3120, 0.019848
Iteration 3130, 0.020415
Iteration 3140, 0.020035
Iteration 3150, 0.0201
Iteration 3160, 0.020127
Iteration 3170, 0.02013
Iteration 3180, 0.020174
Iteration 3190, 0.020162
Iteration 3200, 0.020244
Iteration 3210, 0.020217
Iteration 3220, 0.020115
Iteration 3230, 0.020218
Iteration 3240, 0.020148
Iteration 3250, 0.020586
Iteration 3260, 0.020112
Iteration 3270, 0.020114
Iteration 3280, 0.020183
Iteration 3290, 0.02024
Iteration 3300, 0.020202
Iteration 3310, 0.020221
Iteration 3320, 0.020504
Iteration 3330, 0.020067
Iteration 3340, 0.020255
Iteration 3350, 0.020159
Iteration 3360, 0.020601
Iteration 3370, 0.020245
Iteration 3380, 0.02111
Iteration 3390, 0.020108
Iteration 3400, 0.020192
Iteration 3410, 0.020217
Iteration 3420, 0.020277
Iteration 3430, 0.020389
Iteration 3440, 0.020244
Iteration 3450, 0.019967
Iteration 3460, 0.020248
Iteration 3470, 0.020222
Iteration 3480, 0.020033
Iteration 3490, 0.020184
Iteration 3500, 0.020605
Iteration 3510, 0.020198
Iteration 3520, 0.020183
Iteration 3530, 0.020355
Iteration 3540, 0.02022
Iteration 3550, 0.020238
Iteration 3560, 0.020286
Iteration 3570, 0.020139
Iteration 3580, 0.019947
Iteration 3590, 0.02011
Iteration 3600, 0.020267
Iteration 3610, 0.020148
Iteration 3620, 0.020163
Iteration 3630, 0.020145
Iteration 3640, 0.020716
Iteration 3650, 0.02018
Iteration 3660, 0.020258
Iteration 3670, 0.020188
Iteration 3680, 0.020212
Iteration 3690, 0.020253
Iteration 3700, 0.020294
Iteration 3710, 0.020111
Iteration 3720, 0.020253
Iteration 3730, 0.020322
Iteration 3740, 0.019954
Iteration 3750, 0.020314
Iteration 3760, 0.020156
Iteration 3770, 0.020128
Iteration 3780, 0.020123
Iteration 3790, 0.020124
Iteration 3800, 0.020142
Iteration 3810, 0.020071
Iteration 3820, 0.020313
Iteration 3830, 0.020229
Iteration 3840, 0.020235
Iteration 3850, 0.020196
Iteration 3860, 0.020169
Iteration 3870, 0.02022
Iteration 3880, 0.020132
Iteration 3890, 0.020139
Iteration 3900, 0.020077
Iteration 3910, 0.020149
Iteration 3920, 0.020076
Iteration 3930, 0.020246
Iteration 3940, 0.019995
Iteration 3950, 0.020084
Iteration 3960, 0.020498
Iteration 3970, 0.020219
Iteration 3980, 0.020178
Iteration 3990, 0.020032
Iteration 4000, 0.02062
Iteration 4010, 0.020274
Iteration 4020, 0.020399
Iteration 4030, 0.020292
Iteration 4040, 0.020221
Iteration 4050, 0.020168
Iteration 4060, 0.019927
Iteration 4070, 0.020257
Iteration 4080, 0.020041
Iteration 4090, 0.020218
Iteration 4100, 0.020141
Iteration 4110, 0.02019
Iteration 4120, 0.020169
Iteration 4130, 0.020242
Iteration 4140, 0.020548
Iteration 4150, 0.0201
Iteration 4160, 0.020302
Iteration 4170, 0.020011
Iteration 4180, 0.019886
Iteration 4190, 0.020139
Iteration 4200, 0.020226
Iteration 4210, 0.020152
Iteration 4220, 0.020171
Iteration 4230, 0.021074
Iteration 4240, 0.019942
Iteration 4250, 0.020256
Iteration 4260, 0.020107
Iteration 4270, 0.019923
Iteration 4280, 0.020287
Iteration 4290, 0.020067
Iteration 4300, 0.02018
Iteration 4310, 0.020102
Iteration 4320, 0.020302
Iteration 4330, 0.020546
Iteration 4340, 0.020259
Iteration 4350, 0.020292
Iteration 4360, 0.021123
Iteration 4370, 0.020153
Iteration 4380, 0.020171
Iteration 4390, 0.020155
Iteration 4400, 0.020204
Iteration 4410, 0.020118
Iteration 4420, 0.02017
Iteration 4430, 0.020206
Iteration 4440, 0.020104
Iteration 4450, 0.020059
Iteration 4460, 0.020146
Iteration 4470, 0.020105
Iteration 4480, 0.019973
Iteration 4490, 0.020025
Iteration 4500, 0.020239
Iteration 4510, 0.020108
Iteration 4520, 0.020139
Iteration 4530, 0.020098
Iteration 4540, 0.01999
Iteration 4550, 0.02005
Iteration 4560, 0.020159
Iteration 4570, 0.02025
Iteration 4580, 0.019978
Iteration 4590, 0.020192
Iteration 4600, 0.020007
Iteration 4610, 0.020005
Iteration 4620, 0.020255
Iteration 4630, 0.019958
Iteration 4640, 0.020262
Iteration 4650, 0.020052
Iteration 4660, 0.02031
Iteration 4670, 0.020658
Iteration 4680, 0.020129
Iteration 4690, 0.020122
Iteration 4700, 0.020281
Iteration 4710, 0.020172
Iteration 4720, 0.019992
Iteration 4730, 0.020246
Iteration 4740, 0.020498
Iteration 4750, 0.020218
Iteration 4760, 0.020073
Iteration 4770, 0.020154
Iteration 4780, 0.020708
Iteration 4790, 0.019977
Iteration 4800, 0.019728
Iteration 4810, 0.020085
Iteration 4820, 0.020428
Iteration 4830, 0.020068
Iteration 4840, 0.020586
Iteration 4850, 0.020242
Iteration 4860, 0.020124
Iteration 4870, 0.020504
Iteration 4880, 0.02018
Iteration 4890, 0.020897
Iteration 4900, 0.020177
Iteration 4910, 0.019881
Iteration 4920, 0.020555
Iteration 4930, 0.020569
Iteration 4940, 0.019995
Iteration 4950, 0.020162
Iteration 4960, 0.020601
Iteration 4970, 0.020145
Iteration 4980, 0.020104
Iteration 4990, 0.020643
Iteration 5000, 0.020412
Total time, 105.441
