# Time, Mass, X position, Y position
0, 1000000000, -98.113, 125.13
0, 1000000000, -60.274, -17.472
0, 1000000000, 127.91, -84.91
0, 1000000000, -43.381, -6.2396
0, 1000000000, 99.517, 112.58
0, 1000000000, 99.517, 112.89
0, 1000000000, -70.237, -65.358
0, 1000000000, -32.576, -220.51
0, 1000000000, -50.558, 176.06
0, 1000000000, -999.35, -64.103
10,1000000000, -83.385437062,98.9551020857
10,1000000000, -107.231718547,13.082706174
10,1000000000, 105.072247051,-111.63551148
10,1000000000, -44.8385257851,53.6325075289
10,2000000000, 103.83342833,108.162090941
10,1000000000, -96.8554199677,-77.3666472545
10,1000000000, -56.8909555702,-210.89965266
10,1000000000, -41.238252527,183.77000909
10,1000000000, -1019.41394025,-96.6329953671
20,1000000000, -68.6561287652,72.7782980412
20,1000000000, -154.187696068,43.6381867734
20,1000000000, 82.233904759,-138.360544281
20,1000000000, -46.2978180368,113.505463659
20,2000000000, 108.148988984,103.743898602
20,1000000000, -123.473393238,-89.3741125427
20,1000000000, -81.2058395704,-201.288455203
20,1000000000, -31.918476759,191.478350732
20,1000000000, -1039.47782229,-129.162984383
30,1000000000, -53.9255964754,46.6040387006
30,1000000000, -201.14210448,74.1938372611
30,1000000000, 59.3950599859,-165.085144299
30,1000000000, -47.7582144207,173.376224429
30,2000000000, 112.463670184,99.3255933374
30,1000000000, -150.090885302,-101.38118517
30,1000000000, -105.520650359,-191.67635989
30,1000000000, -22.5987395579,199.184667717
30,1000000000, -1059.54164776,-161.692965424
40,1000000000, -39.1949555393,20.4302570202
40,1000000000, -248.095687792,104.749324257
40,1000000000, 36.5557562769,-191.809326612
40,1000000000, -49.2148481102,233.249788402
40,2000000000, 116.777589276,94.9072785266
40,1000000000, -176.707751203,-113.388313074
40,1000000000, -129.835451365,-182.063277687
40,1000000000, -13.2824064223,206.886527626
40,1000000000, -1079.6054184,-194.222936986
50,1000000000, -24.4641612743,-5.74332465928
50,1000000000, -295.048770535,135.30464863
50,1000000000, 13.7160429644,-218.533077182
50,1000000000, -50.6686679313,293.120850757
50,2000000000, 121.090876323,90.4889685444
50,1000000000, -203.323744745,-125.395885309
50,1000000000, -154.150451935,-172.449076517
50,1000000000, -3.96859316149,214.589724886
50,1000000000, -1099.66913603,-226.752897695
60,1000000000, -9.73325058019,-31.9167617394
60,1000000000, -342.001511627,165.859832051
60,1000000000, -9.12400683086,-245.25638075
60,1000000000, -52.1220356995,352.990877712
60,2000000000, 125.40363444,86.0706492228
60,1000000000, -229.938398239,-137.404221869
60,1000000000, -178.466133971,-162.833638508
60,1000000000, 5.34499460095,222.293040982
60,1000000000, -1119.73280253,-259.282846323
70,1000000000, 4.99771416336,-58.0900419768
70,1000000000, -388.954003802,196.414894864
70,1000000000, -31.9643070642,-271.979242663
70,1000000000, -53.5752584623,412.860355412
70,2000000000, 129.715948264,81.6523074449
70,1000000000, -256.550974153,-149.413303055
70,1000000000, -202.783287733,-153.217141819
70,1000000000, 14.6586183704,229.996146148
70,1000000000, -1139.79641985,-291.8127818
80,1000000000, 19.7286785879,-84.2631346307
80,1000000000, -435.906306482,226.969854244
80,1000000000, -54.8047776816,-298.701692279
80,1000000000, -55.0284206092,472.729482577
80,2000000000, 134.027890539,77.2339378622
80,1000000000, -283.161032034,-161.42244604
80,1000000000, -227.102429674,-143.600386186
80,1000000000, 23.9723287406,237.69894981
80,1000000000, -1159.85998993,-324.34270322
90,1000000000, 34.4596060178,-110.436015586
90,1000000000, -482.858460046,257.524724343
90,1000000000, -77.6453562582,-325.423774292
90,1000000000, -56.4815549637,532.598362774
90,2000000000, 138.339523798,72.8155421522
90,1000000000, -309.769056103,-173.430938722
90,1000000000, -251.423156588,-133.984161773
90,1000000000, 33.2861310812,245.401428798
90,1000000000, -1179.92351474,-356.872609846
100,1000000000, 49.190474716,-136.608674869
100,1000000000, -529.810493127,288.079516775
100,1000000000, -100.486000027,-352.14553791
100,1000000000, -57.9346766708,592.467058085
100,2000000000, 142.650900744,68.3971263975
100,1000000000, -336.375796004,-185.43863515
100,1000000000, -275.744791487,-124.36866301
100,1000000000, 42.6000173304,253.103584385
100,1000000000, -1199.98699622,-389.402501102
110,1000000000, 63.9212733016,-162.78111475
110,1000000000, -576.762426727,318.634241123
110,1000000000, -123.326682258,-378.867029353
110,1000000000, -59.387793411,652.335609137
110,2000000000, 146.962064937,63.9786985893
110,1000000000, -362.981753283,-197.445665484
110,1000000000, -300.066892604,-114.753789356
110,1000000000, 51.9139753731,260.805428073
110,1000000000, -1220.05043627,-421.932376569
120,1000000000, 78.6519971451,-188.953345524
120,1000000000, -623.71427668,349.188905354
120,1000000000, -146.167387239,-405.588288527
120,1000000000, -60.8409092947,712.204044165
120,2000000000, 151.273051922,59.5602668878
120,1000000000, -389.587206852,-209.452188672
120,1000000000, -324.389228715,-105.139400431
120,1000000000, 61.2279924968,268.50697582
120,1000000000, -1240.11383671,-454.46223596
130,1000000000, 93.3826458049,-215.125381776
130,1000000000, -670.666055213,379.743516159
130,1000000000, -169.008106092,-432.309348473
130,1000000000, -62.2940265798,772.072383677
130,2000000000, 155.583890538,55.1418386493
130,1000000000, -416.192312638,-221.458330851
130,1000000000, -348.711681845,-95.5253822616
130,1000000000, 70.5420567737,276.208245335
130,1000000000, -1260.17719929,-486.992079108
140,1000000000, 108.113221292,-241.297239752
140,1000000000, -717.617771964,410.298079208
140,1000000000, -191.848833933,-459.030236102
140,1000000000, -63.7471465067,831.940643084
140,2000000000, 159.894604167,50.7234200109
140,1000000000, -442.797163012,-233.464183788
140,1000000000, -373.034190133,-85.9116514166
140,1000000000, 79.8561575833,283.909254685
140,1000000000, -1280.24052566,-519.521905939
150,1000000000, 122.843726946,-267.468935754
150,1000000000, -764.569434669,440.85259935
150,1000000000, -214.689568137,-485.750973288
150,1000000000, -65.2002697353,891.808834283
150,2000000000, 164.20521183,46.3050158142
150,1000000000, -469.401816419,-245.469813532
150,1000000000, -397.356719997,-76.2981477734
150,1000000000, 89.1702857449,291.610021545
150,1000000000, -1300.30381739,-552.05171646
160,1000000000, 137.574166741,-293.640485248
160,1000000000, -811.521049639,471.407080761
160,1000000000, -237.53030733,-512.471577909
160,1000000000, -66.6533965851,951.676966666
160,2000000000, 168.515729073,41.8866297024
160,1000000000, -496.006312143,-257.475268182
160,1000000000, -421.679252712,-66.6848275586
160,1000000000, 98.484433471,299.310562801
160,1000000000, -1320.36707595,-584.581510737
170,1000000000, 152.304544864,-319.811902448
170,1000000000, -858.472622092,501.961527064
170,1000000000, -260.371050828,-539.192064717
170,1000000000, -68.1065271727,1011.54504778
170,2000000000, 172.826168679,37.4682642901
170,1000000000, -522.610677979,-269.480583404
170,1000000000, -446.001777689,-57.0716583154
170,1000000000, 107.798594241,307.010894339
170,1000000000, -1340.4303027,-617.111288881
180,1000000000, 167.034865471,-345.983200178
180,1000000000, -905.424156405,532.515941418
180,1000000000, -283.211798316,-565.912446015
180,1000000000, -69.5596614934,1071.4130838
180,2000000000, 177.13654123,33.0499213478
180,1000000000, -549.21493445,-281.485786149
180,1000000000, -470.324288971,-47.4586154913
180,1000000000, 117.112762649,314.71103096
180,1000000000, -1360.49349894,-649.641051041
190,1000000000, 181.765132551,-372.154389879
190,1000000000, -952.375656284,563.070326596
190,1000000000, -306.052549679,-592.632732176
190,1000000000, -71.0127994706,1131.28107982
190,2000000000, 181.446855538,28.631601975
190,1000000000, -575.819097245,-293.490897146
190,1000000000, -494.646783314,-37.8456801459
190,1000000000, 126.426934246,322.410986366
190,1000000000, -1380.55666588,-682.170797388
200,1000000000, 196.49534986,-398.325481704
200,1000000000, -999.327124901,593.624685042
200,1000000000, -328.893304906,-619.352932037
200,1000000000, -72.4659409862,1191.14904013
200,2000000000, 185.75711899,24.21330675
200,1000000000, -602.423178707,-305.495932602
200,1000000000, -518.9692591,-28.2328373987
200,1000000000, 135.741105399,330.110773187
200,1000000000, -1400.61980464,-714.700528114
210,1000000000, 211.225520887,-424.496484632
210,1000000000, -1046.278565,624.179018917
210,1000000000, -351.734064037,-646.073053201
210,1000000000, -73.9190858997,1251.01696833
210,2000000000, 190.067337817,19.795035854
210,1000000000, -629.027188766,-317.500905374
210,1000000000, -543.291715694,-18.6200753604
210,1000000000, 145.055273158,337.810403033
210,1000000000, -1420.68291629,-747.230243423
220,1000000000, 225.955648852,-450.667406604
220,1000000000, -1093.22997895,654.733330144
220,1000000000, -374.574827134,-672.793102266
220,1000000000, -75.37223406,1310.88486753
220,2000000000, 194.377517301,15.3767891704
220,1000000000, -655.631135569,-329.505825786
220,1000000000, -567.614153064,-9.00738438571
220,1000000000, 154.369435146,345.509886555
