# Info, Time [s]
Iteration 2350, 0.020706
Iteration 2360, 0.020397
Iteration 2370, 0.020959
Iteration 2380, 0.020857
Iteration 2390, 0.020455
Iteration 2400, 0.020657
Iteration 2410, 0.025192
Iteration 2420, 0.022833
Iteration 2430, 0.02165
Iteration 2440, 0.021867
Iteration 2450, 0.022975
Iteration 2460, 0.021563
Iteration 2470, 0.020991
Iteration 2480, 0.02142
Iteration 2490, 0.02045
Iteration 2500, 0.021486
Iteration 2510, 0.021249
Iteration 2520, 0.021414
Iteration 2530, 0.020706
Iteration 2540, 0.022141
Iteration 2550, 0.020885
Iteration 2560, 0.020666
Iteration 2570, 0.021323
Iteration 2580, 0.021483
Iteration 2590, 0.020799
Iteration 2600, 0.021412
Iteration 2610, 0.020852
Iteration 2620, 0.02072
Iteration 2630, 0.022686
Iteration 2640, 0.021006
Iteration 2650, 0.021452
Iteration 2660, 0.020771
Iteration 2670, 0.020728
Iteration 2680, 0.021919
Iteration 2690, 0.020911
Iteration 2700, 0.020949
Iteration 2710, 0.020498
Iteration 2720, 0.020845
Iteration 2730, 0.020787
Iteration 2740, 0.020405
Iteration 2750, 0.020027
Iteration 2760, 0.019536
Iteration 2770, 0.020177
Iteration 2780, 0.019744
Iteration 2790, 0.021439
Iteration 2800, 0.019768
Iteration 2810, 0.01927
Iteration 2820, 0.01974
Iteration 2830, 0.020241
Iteration 2840, 0.023176
Iteration 2850, 0.020355
Iteration 2860, 0.019583
Iteration 2870, 0.019314
Iteration 2880, 0.02015
Iteration 2890, 0.019394
Iteration 2900, 0.020514
Iteration 2910, 0.0201
Iteration 2920, 0.020433
Iteration 2930, 0.020347
Iteration 2940, 0.020006
Iteration 2950, 0.01948
Iteration 2960, 0.02081
Iteration 2970, 0.02017
Iteration 2980, 0.020295
Iteration 2990, 0.019513
Iteration 3000, 0.020107
Iteration 3010, 0.021831
Iteration 3020, 0.020706
Iteration 3030, 0.019453
Iteration 3040, 0.020121
Iteration 3050, 0.019673
Iteration 3060, 0.020247
Iteration 3070, 0.019588
Iteration 3080, 0.019885
Iteration 3090, 0.019463
Iteration 3100, 0.020459
Iteration 3110, 0.020212
Iteration 3120, 0.020617
